group,N,sample,seed,order_per_subinterval,rank,h1_gap,eta_f_h1,cluster_relative_error,splitting_relative_error,lower_external_gap_relative,upper_external_gap_relative,maximum_coordinate_frequency,measurement_and_solve_seconds,index_success,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10
validation,512,36,2031150180,256,152,0.0003655362758776369,0.0005627848139771929,1.0580552789098524e-07,5.772907189183914e-08,0.21395725421422834,0.24574248002667354,147.64396865813552,0.4051172999897972,1,35.915297447425246,67.99127547986271,67.99127926679692,100.0672580700043,117.8417236312779,117.84172647819311,149.91770558011146,149.91771423472105,186.75886123269453,186.75887517567955
validation,512,36,2031150180,512,152,0.00036553628134467685,0.0005627848224992534,1.0580545755603272e-07,5.7728998144409125e-08,0.21395725421425774,0.24574248002671126,147.64396865813552,0.6782901000697166,1,35.915297447424244,67.99127547986228,67.99127926679489,100.06725807000517,117.8417236312777,117.84172647818922,149.91770558011197,149.9177142347105,186.75886123268964,186.7588751756586
validation,512,37,2031150181,128,150,0.000313191870059097,0.0005932767357422019,7.827586403217795e-08,1.954405004069226e-08,0.21395726585300112,0.2457425277529174,61.443915135858084,0.29537680000066757,1,35.91529796318623,67.99127699533413,67.99127991451296,100.06725976890871,117.84172378301557,117.84172633076183,149.9177071775382,149.9177101075372,186.75886426051932,186.7588759766778
validation,512,37,2031150181,256,150,0.0003131917945534548,0.0005932768112270766,7.827587066755083e-08,1.9544020655469504e-08,0.21395726585302557,0.24574252775291192,61.443915135858084,0.43732669996097684,1,35.91529796318838,67.99127699533551,67.99127991451562,100.06725976890544,117.84172378301427,117.84172633076356,149.9177071775436,149.9177101075382,186.7588642605195,186.7588759766706
validation,512,37,2031150181,512,150,0.000313191901962884,0.0005932767929183679,7.827584659062638e-08,1.9544000370186696e-08,0.2139572658530671,0.24574252775293162,61.443915135858084,0.6391165000386536,1,35.91529796318903,67.99127699533472,67.99127991451292,100.06725976890388,117.84172378301643,117.84172633075677,149.91770717754304,149.9177101075346,186.75886426051883,186.7588759766537
validation,512,38,2031150182,128,153,0.00021568531772631937,0.0005887573512884642,3.7582715594470816e-08,8.419654601829036e-09,0.21395723296601388,0.24574252485650813,39.563422343807545,0.2993811999913305,1,35.91529817146397,67.99127478066161,67.99127718831066,100.06725842980843,117.84172359584224,117.84172682822387,149.9177027446588,149.91770400691405,186.75885772567315,186.7588670565262
validation,512,38,2031150182,256,153,0.00021568531051993056,0.0005887573706042569,3.758270156539673e-08,8.419673749619348e-09,0.21395723296599292,0.24574252485652293,39.563422343807545,0.4240480000153184,1,35.91529817146352,67.99127478066228,67.99127718831035,100.0672584298053,117.84172359584075,117.84172682822204,149.91770274465384,149.91770400691195,186.75885772567327,186.75886705652584
validation,512,38,2031150182,512,153,0.00021568535581722767,0.0005887574304006517,3.758272185067953e-08,8.419698395290047e-09,0.21395723296596098,0.24574252485651002,39.563422343807545,0.6319394001038745,1,35.91529817146392,67.99127478066265,67.99127718831163,100.06725842980555,117.84172359584171,117.84172682822617,149.91770274465318,149.917704006915,186.75885772567437,186.75886705653457
validation,512,39,2031150183,128,152,0.00028547701414224057,0.0005502204303656756,6.493935907211e-08,2.357560629508741e-08,0.2139572504520691,0.24574252563962357,98.63137524452964,0.29604719998314977,1,35.915296962550364,67.99127578731063,67.99127702375893,100.06726126977746,117.84172481984923,117.84172603585435,149.91770457375844,149.91770810815908,186.75886194432104,186.75886543529296
validation,512,39,2031150183,256,152,0.00028547704992113235,0.0005502204760972697,6.493939186981023e-08,2.357562828660896e-08,0.21395725045205516,0.2457425256395807,98.63137524452964,0.43666569993365556,1,35.91529696255154,67.99127578731503,67.99127702375903,100.06726126977469,117.84172481984731,117.84172603585806,149.91770457376006,149.917708108164,186.75886194431953,186.7588654353649
validation,512,39,2031150183,512,152,0.0002854770623659632,0.0005502204404575588,6.493935622837876e-08,2.3575597384729544e-08,0.21395725045207903,0.24574252563961313,98.63137524452964,0.5965674000326544,1,35.91529696255051,67.99127578730686,67.99127702375885,100.06726126976888,117.84172481984977,117.84172603585377,149.91770457375935,149.91770810815865,186.75886194431905,186.7588654352494
validation,512,40,2031150184,128,151,0.00038114107695980814,0.000608923465883343,1.1513341925151117e-07,7.220160728866053e-08,0.21395724347595066,0.2457425261104774,80.1513101442645,0.2736265000421554,1,35.91529822944362,67.9912785618329,67.9912811935797,100.06725846467428,117.8417233253829,117.84172731677779,149.91770480883827,149.91771563313705,186.75886953988834,186.75887889229185
validation,512,40,2031150184,256,151,0.0003811409991855677,0.0006089234858704577,1.1513340749742207e-07,7.220159629289976e-08,0.21395724347597114,0.24574252611047245,80.1513101442645,0.40928780008107424,1,35.91529822944397,67.99127856183243,67.99128119358272,100.0672584646721,117.84172332538006,117.84172731677461,149.91770480883815,149.9177156331353,186.75886953988584,186.75887889229125
validation,512,40,2031150184,512,151,0.00038114108598977513,0.0006089234663527923,1.1513342285357074e-07,7.220162207606296e-08,0.21395724347594175,0.24574252611047986,80.1513101442645,0.6437388000776991,1,35.9152982294436,67.99127856183284,67.99128119358004,100.06725846467462,117.84172332538161,117.84172731677745,149.9177048088366,149.9177156331376,186.75886953988925,186.75887889229983
validation,512,41,2031150185,128,141,0.00034762712332150826,0.0006220487055454548,9.572960781664485e-08,3.6559171411262324e-08,0.21395724441119726,0.24574254035752538,63.47926071922485,0.2860113999340683,1,35.91529851283605,67.99127748402805,67.99127792155649,100.06726599520717,117.84172661336336,117.84172961102497,149.91770724329547,149.9177127241623,186.75886876679823,186.75887366665117
validation,512,41,2031150185,256,141,0.00034762720348382255,0.0006220487816365236,9.572959511464534e-08,3.65591096075035e-08,0.21395724441118658,0.24574254035754717,63.47926071922485,0.41143469989765435,1,35.91529851283568,67.9912774840278,67.99127792155528,100.06726599521856,117.84172661335502,117.84172961103394,149.91770724330283,149.9177127241604,186.7588687667996,186.7588736666488
validation,512,41,2031150185,512,141,0.0003476271239602519,0.0006220487335852444,9.572956572942258e-08,3.655907339732578e-08,0.2139572444113059,0.245742540357594,63.47926071922485,0.6617092000087723,1,35.915298512835925,67.99127748402744,67.99127792155568,100.06726599522058,117.84172661335252,117.84172961101707,149.91770724330385,149.917712724156,186.7588687668022,186.75887366665106
validation,512,42,2031150186,128,148,0.00037119399357916455,0.0005802787422167947,1.0903453427884694e-07,7.24518791454686e-09,0.21395731992847858,0.2457424716573524,55.7186105416675,0.286331299925223,1,35.91529795870336,67.99127521068421,67.99127971119432,100.0672594713105,117.84172388459767,117.84172467897686,149.91771363262436,149.91771471880625,186.75886046207037,186.75888082084563
validation,512,42,2031150186,256,148,0.00037119397982078996,0.0005802787454222918,1.0903453427884694e-07,7.245219764336686e-09,0.21395731992845224,0.24574247165720625,55.7186105416675,0.38513970002532005,1,35.91529795870341,67.99127521068411,67.99127971119421,100.06725947131117,117.84172388459608,117.84172467897604,149.91771363261958,149.91771471880625,186.75886046204846,186.75888082086584
validation,512,42,2031150186,512,148,0.00037119397503526826,0.0005802787428789899,1.0903450622069875e-07,7.2451755917115115e-09,0.21395731992846637,0.24574247165724322,55.7186105416675,0.5662726999726146,1,35.915297958703476,67.99127521068408,67.99127971119415,100.06725947131069,117.84172388459749,117.84172467897633,149.917713632622,149.91771471880205,186.7588604620498,186.75888082083947
validation,512,43,2031150187,128,151,0.0003202000413511147,0.0005563737639931483,8.122347392487073e-08,4.1184747668680575e-08,0.21395725514999195,0.24574252220586018,84.1190120120796,0.28283509996253997,1,35.91529739786683,67.99127624993223,67.99127744677405,100.06725659431953,117.84172494609825,117.84172513290764,149.91770437511352,149.9177105494361,186.75886387081616,186.7588670025655
validation,512,43,2031150187,256,151,0.00032019990474027506,0.0005563737711565428,8.122345989579664e-08,4.1184731933367745e-08,0.2139572551500168,0.24574252220595724,84.1190120120796,0.36748989997431636,1,35.9152973978664,67.99127624993001,67.9912774467741,100.06725659432475,117.84172494609783,117.84172513290417,149.91770437511377,149.917710549434,186.7588638708286,186.75886700257306
validation,512,43,2031150187,512,151,0.0003201999844877266,0.0005563737633242205,8.122351108295887e-08,4.118478425802246e-08,0.2139572551499803,0.24574252220607687,84.1190120120796,0.5827766999136657,1,35.9152973978665,67.9912762499322,67.99127744677455,100.06725659432169,117.84172494609011,117.84172513290947,149.9177043751136,149.91771054944167,186.7588638708542,186.75886700256893
validation,512,44,2031150188,128,150,0.0003555881442762762,0.000608552648574563,1.0035413435807342e-07,3.0470734117571306e-08,0.21395726510684168,0.24574253439553403,72.40599858150058,0.2814876000629738,1,35.91529835710641,67.99127780966029,67.99127892056882,100.06726116006058,117.8417240407366,117.84172811444448,149.91770884935835,149.91771341746067,186.75886856628858,186.7588746052166
validation,512,44,2031150188,256,150,0.0003555881498962651,0.0006085526828626208,1.0035413947678965e-07,3.047077715270399e-08,0.21395726510681343,0.2457425343954271,72.40599858150058,0.3566231000004336,1,35.91529835710715,67.9912778096605,67.99127892056836,100.06726116006676,117.84172404073573,117.84172811444303,149.91770884935266,149.91771341746144,186.75886856627332,186.7588746052168
validation,512,44,2031150188,512,150,0.0003555880880763822,0.000608552684539532,1.00354105731179e-07,3.047069354700569e-08,0.213957265106845,0.24574253439544227,72.40599858150058,0.5974621999775991,1,35.915298357107766,67.99127780966091,67.99127892056848,100.06726116007445,117.84172404073723,117.84172811444577,149.91770884936014,149.91771341745638,186.75886856627054,186.75887460521562
validation,512,45,2031150189,128,148,0.0002946044490981975,0.0005675935527431835,6.913406018742442e-08,9.934460370322405e-09,0.21395725792955902,0.24574255677467016,112.6473820863477,0.2599386000074446,1,35.91529752889614,67.99127717239297,67.99128236182798,100.0672603058191,117.84172462646562,117.8417275887554,149.91770724766758,149.917708737019,186.7588672408755,186.75888122477372
validation,512,45,2031150189,256,148,0.0002946044551278309,0.0005675935289597465,6.913404881249948e-08,9.934438757965023e-09,0.21395725792957307,0.24574255677468534,112.6473820863477,0.3715091999620199,1,35.915297528896126,67.99127717239269,67.99128236182767,100.06726030581913,117.84172462646528,117.84172758875484,149.9177072476691,149.9177087370173,186.75886724087607,186.7588812247756
validation,512,45,2031150189,512,148,0.00029460445211301425,0.0005675935320609855,6.913406227282733e-08,9.934474209814412e-09,0.21395725792954595,0.24574255677468154,112.6473820863477,0.6112487999489531,1,35.91529752889653,67.99127717239459,67.99128236182823,100.06726030582028,117.84172462646403,117.8417275887556,149.91770724766582,149.91770873701932,186.75886724087752,186.75888122477323
validation,512,46,2031150190,128,158,0.00029123688315201186,0.0005217020128811634,6.738408618745528e-08,2.6907992740335174e-08,0.21395724136630664,0.24574250323155605,157.1136390445137,0.2733742999844253,1,35.91529627922201,67.99127550044854,67.99127932166476,100.06725754750907,117.8417249102589,117.8417272648951,149.9177044406826,149.91770847466694,186.758858951463,186.75887288216657
validation,512,46,2031150190,256,158,0.00029123688353322147,0.0005217020440784953,6.738404542730759e-08,2.6907978521679004e-08,0.21395724136626598,0.2457425032314681,157.1136390445137,0.378844799939543,1,35.915296279222126,67.99127550044763,67.9912793216664,100.06725754753627,117.84172491025033,117.84172726489722,149.91770444067862,149.91770847466083,186.7588589514437,186.758872882169
validation,512,46,2031150190,512,158,0.0002912370139068832,0.0005217020475890667,6.738413358297586e-08,2.690805757740732e-08,0.2139572413662783,0.2457425032314533,157.1136390445137,0.5997611000202596,1,35.91529627922216,67.99127550044858,67.99127932166525,100.06725754751042,117.84172491025953,117.84172726489673,149.91770444067998,149.91770847467404,186.7588589514547,186.75887288216433
validation,512,47,2031150191,128,152,0.00027360983533521903,0.0006050144558090858,5.996071121125151e-08,1.763546313948113e-08,0.21395723794350985,0.245742539503307,47.04890677396238,0.28544529993087053,1,35.91529852762637,67.9912763914876,67.99127708301086,100.06726197683113,117.84172560914203,117.84172805525392,149.9177047179036,149.91770736177165,186.75886327634512,186.75886457225747
validation,512,47,2031150191,256,152,0.00027360983492945035,0.0006050144260413076,5.996069718217743e-08,1.76355116724942e-08,0.21395723794343732,0.24574253950335648,47.04890677396238,0.3825622999574989,1,35.91529852762573,67.99127639148755,67.99127708300892,100.06726197683881,117.84172560914564,117.84172805525542,149.91770471789422,149.91770736176954,186.75886327635044,186.75886457224658
validation,512,47,2031150191,512,152,0.00027360984426212995,0.0006050144269103598,5.996072391325104e-08,1.7635510535001705e-08,0.21395723794347704,0.24574253950331762,47.04890677396238,0.5759528999915347,1,35.91529852762534,67.99127639148718,67.9912770830084,100.06726197684638,117.84172560914641,117.84172805525364,149.9177047178984,149.91770736177355,186.75886327634862,186.75886457224502
validation,512,48,2031150192,128,151,0.0003059423203975644,0.0005844260478864955,7.433413764541889e-08,2.10746472383125e-08,0.21395725660600262,0.24574254873353402,104.09814953885319,0.27147110004443675,1,35.91529798519388,67.9912774012903,67.99128047475256,100.06726014456838,117.8417250763287,117.8417268966524,149.91770635714005,149.91770951660266,186.75886681495052,186.75887693864368
validation,512,48,2031150192,256,151,0.0003059423258408601,0.0005844260794932137,7.433414124747844e-08,2.107467112565487e-08,0.2139572566059649,0.2457425487335418,104.09814953885319,0.3766065000090748,1,35.91529798519441,67.99127740128974,67.99128047475276,100.06726014456605,117.84172507633227,117.84172689665502,149.917706357137,149.9177095166032,186.75886681495223,186.75887693864811
