N,sample,seed,order_per_subinterval,rank,h1_gap,eta_f_h1,cluster_relative_error,splitting_relative_error,lower_external_gap_relative,upper_external_gap_relative,maximum_coordinate_frequency,measurement_and_solve_seconds,index_success,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10
160,5,2032101925,512,105,0.0005653579311822738,0.001139419306534211,2.471051273759135e-07,3.6878763577297525e-08,0.21395724231578492,0.24574264920777752,71.17823987754659,0.09601159999147058,1,35.915315084289006,67.99129266192996,67.99129849092216,100.06727747937094,117.84174049922908,117.84175257112133,149.91772988925243,149.91773541803178,186.75890777924698,186.7589165812934
160,6,2032101926,512,99,0.0006440137575579762,0.0013701321348503132,3.162814795342564e-07,4.8759806510600525e-08,0.21395720109500926,0.2457428567579362,63.57752906194716,0.0952030000044033,1,35.91532451217667,67.99129394796076,67.99131337522718,100.06728978297761,117.84175900217124,117.84176734042603,149.91773847883331,149.91774578879128,186.75894926544856,186.7589685885462
160,7,2032101927,512,98,0.000596212964993758,0.0012705053997645026,2.722950252913279e-07,9.529690093246188e-08,0.21395709288370968,0.24574289884479275,66.1328951262503,0.09190899995155632,1,35.91532281579954,67.99128380610438,67.99130555922453,100.06728532598214,117.84175120136689,117.84176999213294,149.91772490775125,149.9177391944433,186.75894898066525,186.75895537409409
160,8,2032101928,512,98,0.0006566181703649386,0.0012565506271936184,3.2847930616462743e-07,9.457393800324018e-08,0.21395713088541077,0.24574276450048288,75.61426613996704,0.09574879996944219,1,35.915321654517165,67.99128898580231,67.99131492195676,100.06729123432591,117.84175774572965,117.84177282640839,149.91773343915426,149.91774761746137,186.7589372630936,186.75899975471086
160,9,2032101929,512,101,0.0006528460318276637,0.0011017586147242828,3.249284737650549e-07,1.0409450334024161e-07,0.21395713831444724,0.24574276976942813,50.08205807436492,0.10010729997884482,1,35.91531281716479,67.99128777539282,67.99131621057681,100.06729147290699,117.84174153181326,117.84176975303048,149.9177314795204,149.91774708512875,186.75893752066912,186.75895901565
160,10,2032101930,512,99,0.0006602222370247089,0.0012162588901555881,3.326514267268659e-07,3.539442782023483e-08,0.21395728305509337,0.24574264198919424,97.07284813806035,0.09302020003087819,1,35.915318145572265,67.99130552343719,67.9913099420226,100.06728329683644,117.84175590031172,117.84175951101048,149.91774293668493,149.91774824293609,186.7589195219579,186.75894657122228
160,11,2032101931,512,99,0.0005785199764929117,0.001175102304838775,2.569587141153316e-07,8.498327753504126e-08,0.21395716047870242,0.24574262370384714,43.05259736417839,0.09608519996982068,1,35.91531709634014,67.99128983920707,67.99129926530635,100.06729001710796,117.841755140369,117.84175910545741,149.91772415476146,149.91773689525883,186.75890543298348,186.75895176365844
160,12,2032101932,512,95,0.0006499671031629783,0.001183726721914782,3.2175704174934755e-07,9.764699246396697e-08,0.21395716890369773,0.2457427335171738,38.85927983483217,0.09916029998566955,1,35.91531597040499,67.9912836966585,67.99131677908059,100.06728919406743,117.8417447302057,117.84176565830265,149.9177319706626,149.91774660967496,186.7589316103608,186.75925870317857
160,13,2032101933,512,103,0.0006137256672259513,0.0009750980194425307,2.881773523912893e-07,6.621458522365467e-08,0.21395730808016664,0.24574268449728912,90.02402820308437,0.1033643000992015,1,35.915303160587456,67.99129704482625,67.99130671560437,100.06728302644201,117.84173937224634,117.84174447137117,149.917731648747,149.91774157548522,186.75891922722278,186.75893829914324
160,14,2032101934,512,102,0.0005156440835009618,0.0010839349652177314,2.0530500119723636e-07,6.3531331998992e-08,0.21395716578455606,0.24574277974888467,32.6045404809908,0.09902600001078099,1,35.91531223904341,67.99129297470117,67.99129934366947,100.06728267121349,117.84173841286534,117.8417537822366,149.917719626982,149.91772915145307,186.7589210830906,186.75893178770792
160,15,2032101935,512,96,0.0006256372027303873,0.0013985042213396444,2.990530462817321e-07,3.815279593046998e-08,0.2139571124200986,0.24574269058804954,41.09755302413212,0.0938044999493286,1,35.915327863690344,67.99129366990108,67.99130452601871,100.06728790611332,117.84175010380716,117.84177964169609,149.91773748616487,149.91774320594422,186.75892177079456,186.7589397646039
160,16,2032101936,512,99,0.0006502839465125324,0.00118674669392628,3.2297117147281294e-07,4.619002157466911e-08,0.2139572184581508,0.2457427136146849,303.8367466187482,0.09863749996293336,1,35.91531539290145,67.99130381141138,67.99130876714104,100.06728197206877,117.84175124757007,117.84176612554327,149.91773986699278,149.9177467916945,186.758928808645,186.75893397017524
160,17,2032101937,512,101,0.0005169003861541189,0.0012081125129684337,2.066945309361669e-07,6.301761650146215e-08,0.2139571011915154,0.24574266421630736,66.59298415556773,0.09541700000409037,1,35.9153200652619,67.99128885323643,67.99130179209293,100.0672748773637,117.84173805151075,117.84176375120673,149.91771991231215,149.91772935976817,186.75890397102762,186.75895468038962
160,18,2032101938,512,94,0.0006455117131961655,0.0015203546300370599,3.187290172039717e-07,5.434182759609423e-08,0.21395719542349698,0.2457427499706535,37.2665886861475,0.09465300000738353,1,35.91533668661576,67.99131045411586,67.99131661902106,100.0672991492833,117.84175618099829,117.84176772077156,149.91773800891877,149.9177461557205,186.75893362307414,186.75897823366714
