N,sample,seed,order_per_subinterval,rank,h1_gap,eta_f_h1,cluster_relative_error,splitting_relative_error,lower_external_gap_relative,upper_external_gap_relative,maximum_coordinate_frequency,measurement_and_solve_seconds,index_success,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10
672,6,2031172070,512,168,0.0002164591634616,0.0005283069843315,3.783988141411948e-08,2.090842451228717e-08,0.2139572397277437,0.2457425212675676,82.54332246385526,0.9323225000407548,1,35.91529690169352,67.99127434784477,67.99127516255801,100.06725627107063,117.8417233624776,117.84172398078697,149.91770091092488,149.91770404546776,186.7588572261812,186.75886107578592
672,7,2031172071,512,158,0.0001756715184421,0.0005305717245874,2.5073470439960622e-08,5.195418667904139e-09,0.2139572442697367,0.2457425278412164,81.66110631528801,0.887137999990955,1,35.915296835981,67.99127424285331,67.99127522770053,100.06725388617365,117.8417227706963,117.84172374160856,149.9177013526716,149.9177021315568,186.7588562977765,186.75886674606912
672,8,2031172072,512,166,0.000227218871938,0.0004998136727054,4.171330668492583e-08,1.2311403928799646e-08,0.2139572532168002,0.2457425284687179,52.78192394408922,0.911757699912414,1,35.915295559189666,67.99127483184465,67.99127803017379,100.06725682089728,117.84172294561505,117.8417238280792,149.91770278046542,149.91770462616276,186.75885888645604,186.75887088813093
672,9,2031172073,512,163,0.0002366866063882,0.0004410866566822,4.517498867904527e-08,1.947719126522165e-08,0.2139572549109294,0.2457425141817386,62.13365329958998,0.8802310999017209,1,35.91529527483487,67.9912743148696,67.99127478615442,100.06725416706044,117.84172280905555,117.8417230187883,149.91770222515447,149.91770514513016,186.7588572635524,186.75886083551757
672,10,2031172074,512,166,0.000231611917895,0.0004942727713198,4.329486354626706e-08,1.071460580553436e-08,0.2139572590927648,0.2457425264689553,89.09610164301064,0.8670681000221521,1,35.91529629172201,67.99127464962677,67.99127509593971,100.06725435149949,117.84172293100556,117.84172342365976,149.91770325695708,149.91770486326612,186.7588588237596,186.75886025493836
672,11,2031172075,512,165,0.0002316618038382,0.0005150990735089,4.3218625955603216e-08,1.5870469309460072e-08,0.2139572500962505,0.2457425383982675,72.81237278051502,0.8956292999209836,1,35.915296691314225,67.9912748148569,67.99127578612281,100.06725621288216,117.84172303310804,117.84172398801194,149.91770247257253,149.91770485183676,186.7588606007453,186.75886290805155
672,12,2031172076,512,171,0.0002753321350755,0.0005265739937656,6.05244115414352e-08,3.186811426094759e-08,0.213957248879394,0.2457425283933044,113.52593505132025,0.9177278000861406,1,35.9152967307653,67.99127489369296,67.9912767442378,100.067256407082,117.84172278839392,117.84172436655368,149.91770266868596,149.9177074462803,186.75886169526777,186.7588664430538
672,13,2031172077,512,168,0.000225220615954,0.0005274008244174,4.0862475759912136e-08,1.3186174900001437e-08,0.2139572535894195,0.245742551969379,59.30287044363124,0.9278587000444533,1,35.915296727004446,67.99127558846621,67.99127649761932,100.06725597085943,117.8417231421786,117.8417235135187,149.91770252176715,149.91770449860817,186.75886228206645,186.75886482409092
672,14,2031172078,512,167,0.0002228012024426,0.000532738949244,4.0101357730389755e-08,1.50790473424111e-08,0.2139572503961464,0.2457425308160931,89.99185415902573,0.8911889999872074,1,35.91529682565861,67.99127431764109,67.99127676457725,100.06725409085486,117.84172316072376,117.84172359436673,149.917702123887,149.91770438450308,186.75885899670945,186.7588658398868
672,15,2031172079,512,169,0.0002226598785175,0.0004612130461432,4.011250913805244e-08,8.552617426500634e-09,0.2139572507066235,0.2457425215473851,68.38998421339375,0.9532607999863104,1,35.915295514726765,67.99127422015124,67.99127596528622,100.06725536142594,117.84172346579666,117.84172452791984,149.91770310398616,149.91770438617488,186.75885760883787,186.75886063527452
672,16,2031172080,512,155,0.0002952204944223,0.0005547533107945,6.950690482288389e-08,5.2923627927604435e-09,0.2139572827313092,0.2457425735730321,66.3752798251699,0.8977963000070304,1,35.91529731711943,67.99127713392298,67.991280015648,100.0672613859346,117.84172321618152,117.84172462236268,149.91770799949617,149.91770879291502,186.75886981514327,186.7588742918655
672,17,2031172081,512,160,0.0003037133503797,0.0005654429977452,7.340630245980056e-08,3.5304167411689855e-08,0.2139572420870387,0.2457425279614599,101.63414533171456,0.8980598000343889,1,35.9152974106349,67.99127632052056,67.99127960619126,100.06725515756192,117.84172368752898,117.84172680094622,149.91770408478422,149.91770937750374,186.75886356175008,186.75887374611108
672,18,2031172082,512,154,0.0003069424965329,0.0005320210681648,7.514957340608597e-08,1.55328776517855e-08,0.2139572778887451,0.2457425396619959,67.07755010272267,0.8666585999308154,1,35.91529655520672,67.99127494565259,67.9912779217863,100.06725753473503,117.8417231808852,117.84172465905024,149.91770731019764,149.9177096388509,186.75886557721464,186.7588670094057
672,19,2031172083,512,163,0.0003130990659125,0.0005498418671984,7.776460438094215e-08,2.8002329337639824e-08,0.2139572736448922,0.2457425092588074,55.13556203852045,0.8789107000920922,1,35.91529710703733,67.99127512473554,67.99127730586443,100.06725437442635,117.84172328709968,117.8417238179268,149.91770583284557,149.91771003089033,186.75886141127805,186.7588634754206
672,20,2031172084,512,157,0.0002336692905376,0.000522285707835,4.3745113977181484e-08,3.44663258926267e-09,0.213957262468621,0.2457425306014651,89.25563892161553,0.907752399914898,1,35.91529682774349,67.99127472759476,67.99127611100148,100.06725656576955,117.84172353055476,117.8417240746575,149.9177044140554,149.91770493076663,186.75885951079647,186.7588612411981
672,21,2031172085,512,171,0.0002285827305797,0.0005134968399243,4.221810613712533e-08,1.0272241610079269e-08,0.2139572613538117,0.2457425260679454,88.06248420788071,0.9005971999140456,1,35.91529653677893,67.99127460707791,67.99127487814842,100.06725637446004,117.84172290193946,117.84172298958204,149.9177031618503,149.91770470184113,186.7588586022161,186.7588601413784
672,22,2031172086,512,161,0.0002301048027588,0.0005156164778695,4.25518739242e-08,2.6748371072833288e-08,0.2139572284729477,0.2457425297224265,94.3197934810534,0.8840369000099599,1,35.91529668411907,67.99127465127395,67.99127535905072,100.06725659752048,117.84172303572252,117.8417254989798,149.9177007418246,149.91770475187883,186.7588592001252,186.7588612432464
672,23,2031172087,512,166,0.0002304141471052,0.0005639929076572,4.273621368275572e-08,6.326308776078233e-09,0.2139572458163444,0.2457425300069173,68.5828344468039,0.8749965000897646,1,35.915297672563675,67.99127493443682,67.9912757245535,100.06725465059344,117.84172307096094,117.84172598816204,149.91770383108897,149.91770477951462,186.7588592704112,186.7588632411065
