problem,dim,potential,potential_scale,law,q,rho_used,N,rank,mass_cond_after_trunc,mass_truncation_tolerance,trial,seed,eigen_index,lambda_rfm,lambda_ref,rel_error,quad_order,assembly,integration_points,integration_scramble_seed,integration_backend,integration_dtype,integration_density,assembly_s,solve_s,total_s,omega_norm_max,boundary_factor,note
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,256,153,98879.09624315826,1e-05,2,21116997,2,178.4868310874834,181.89487396569749,0.018736332717417748,,qmc,200000,203508,torch,float64,uniform,0.43839359981939197,0.043963899835944176,0.48235749965533614,7.826979895701661,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,256,153,98879.09624315826,1e-05,2,21116997,3,179.48523840581598,181.89487396569749,0.013247407732534165,,qmc,200000,203508,torch,float64,uniform,0.43839359981939197,0.043963899835944176,0.48235749965533614,7.826979895701661,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,256,158,98906.42801942815,1e-05,3,21117094,1,150.12097298050006,151.00174383907776,0.005832852231934094,,qmc,200000,203508,torch,float64,uniform,0.4417212000116706,0.0444968999363482,0.4862180999480188,7.4426412017344195,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,256,158,98906.42801942815,1e-05,3,21117094,2,178.21768278548285,181.89487396569749,0.02021602423446026,,qmc,200000,203508,torch,float64,uniform,0.4417212000116706,0.0444968999363482,0.4862180999480188,7.4426412017344195,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,256,158,98906.42801942815,1e-05,3,21117094,3,179.1436592064393,181.89487396569749,0.015125301220841504,,qmc,200000,203508,torch,float64,uniform,0.4417212000116706,0.0444968999363482,0.4862180999480188,7.4426412017344195,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,256,158,99955.91610106942,1e-05,4,21117191,1,149.95895000042898,151.00174383907776,0.00690583970844787,,qmc,200000,203508,torch,float64,uniform,0.441590600181371,0.04437750019133091,0.4859681003727019,7.506652757357569,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,256,158,99955.91610106942,1e-05,4,21117191,2,177.9747955460672,181.89487396569749,0.02155134080562126,,qmc,200000,203508,torch,float64,uniform,0.441590600181371,0.04437750019133091,0.4859681003727019,7.506652757357569,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,256,158,99955.91610106942,1e-05,4,21117191,3,179.94578850713222,181.89487396569749,0.010715450172239769,,qmc,200000,203508,torch,float64,uniform,0.441590600181371,0.04437750019133091,0.4859681003727019,7.506652757357569,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,384,195,98656.42283802436,1e-05,0,21244803,1,149.8633776315597,151.00174383907776,0.007538761994240381,,qmc,200000,203508,torch,float64,uniform,0.9759037001058459,0.1014010002836585,1.0773047003895044,10.143528962825048,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,384,195,98656.42283802436,1e-05,0,21244803,2,177.46614323583603,181.89487396569749,0.024347748967882655,,qmc,200000,203508,torch,float64,uniform,0.9759037001058459,0.1014010002836585,1.0773047003895044,10.143528962825048,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,384,195,98656.42283802436,1e-05,0,21244803,3,178.66796707147572,181.89487396569749,0.017740504852436435,,qmc,200000,203508,torch,float64,uniform,0.9759037001058459,0.1014010002836585,1.0773047003895044,10.143528962825048,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,384,187,99709.42891895607,1e-05,1,21244900,1,149.93776173151755,151.00174383907776,0.007046157749635598,,qmc,200000,203508,torch,float64,uniform,0.974800799973309,0.10131039982661605,1.076111199799925,10.543443384147416,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,384,187,99709.42891895607,1e-05,1,21244900,2,177.37604533752767,181.89487396569749,0.02484307847521857,,qmc,200000,203508,torch,float64,uniform,0.974800799973309,0.10131039982661605,1.076111199799925,10.543443384147416,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,384,187,99709.42891895607,1e-05,1,21244900,3,178.86411626995906,181.89487396569749,0.016662139122787942,,qmc,200000,203508,torch,float64,uniform,0.974800799973309,0.10131039982661605,1.076111199799925,10.543443384147416,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,384,177,98738.8819686559,1e-05,2,21244997,1,149.92585353802164,151.00174383907776,0.007125019047479967,,qmc,200000,203508,torch,float64,uniform,0.9753552996553481,0.09886230016127229,1.0742175998166203,13.549556647794953,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,384,177,98738.8819686559,1e-05,2,21244997,2,177.28942596706196,181.89487396569749,0.02531928414598446,,qmc,200000,203508,torch,float64,uniform,0.9753552996553481,0.09886230016127229,1.0742175998166203,13.549556647794953,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,384,177,98738.8819686559,1e-05,2,21244997,3,179.0373103670635,181.89487396569749,0.015709973218777342,,qmc,200000,203508,torch,float64,uniform,0.9753552996553481,0.09886230016127229,1.0742175998166203,13.549556647794953,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,384,175,99138.9339637097,1e-05,3,21245094,1,149.8699788883787,151.00174383907776,0.007495045566527829,,qmc,200000,203508,torch,float64,uniform,0.974042400252074,0.10114860022440553,1.0751910004764795,10.708792139535548,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,384,175,99138.9339637097,1e-05,3,21245094,2,177.33668084846627,181.89487396569749,0.02505949188040789,,qmc,200000,203508,torch,float64,uniform,0.974042400252074,0.10114860022440553,1.0751910004764795,10.708792139535548,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,384,175,99138.9339637097,1e-05,3,21245094,3,179.15769586341867,181.89487396569749,0.015048132157891416,,qmc,200000,203508,torch,float64,uniform,0.974042400252074,0.10114860022440553,1.0751910004764795,10.708792139535548,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,384,178,99728.46550699881,1e-05,4,21245191,1,149.92942335810713,151.00174383907776,0.007101378127880439,,qmc,200000,203508,torch,float64,uniform,0.9763267999514937,0.10289909970015287,1.0792258996516466,9.979916386122206,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,384,178,99728.46550699881,1e-05,4,21245191,2,177.86287018086674,181.89487396569749,0.02216667076385628,,qmc,200000,203508,torch,float64,uniform,0.9763267999514937,0.10289909970015287,1.0792258996516466,9.979916386122206,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,384,178,99728.46550699881,1e-05,4,21245191,3,179.30446185020665,181.89487396569749,0.01424125957490889,,qmc,200000,203508,torch,float64,uniform,0.9763267999514937,0.10289909970015287,1.0792258996516466,9.979916386122206,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,512,190,97226.03512360422,1e-05,0,21372803,1,149.70210710514203,151.00174383907776,0.008606766391524245,,qmc,200000,203508,torch,float64,uniform,1.5753147001378238,0.19098620023578405,1.7663009003736079,14.383699988401759,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,512,190,97226.03512360422,1e-05,0,21372803,2,177.68565174526492,181.89487396569749,0.02314096119732521,,qmc,200000,203508,torch,float64,uniform,1.5753147001378238,0.19098620023578405,1.7663009003736079,14.383699988401759,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,512,190,97226.03512360422,1e-05,0,21372803,3,179.03231850515544,181.89487396569749,0.01573741688334699,,qmc,200000,203508,torch,float64,uniform,1.5753147001378238,0.19098620023578405,1.7663009003736079,14.383699988401759,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,512,211,98944.69536799987,1e-05,1,21372900,1,149.83655720114618,151.00174383907776,0.0077163786874760885,,qmc,200000,203508,torch,float64,uniform,1.5785499000921845,0.16933670034632087,1.7478866004385054,11.55097938292441,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
