features,seed,repeat,retained,iterations,converged,wall_seconds,energy,mu1,mu2,energy_abs_error,mu1_abs_error,mu2_abs_error,virial_residual,wave_error_1,wave_error_2,retained_rank,complex_unknowns
256,2086156487,0,251,209,True,31.994555999990553,8.372859503487636,12.29796402025737,12.484788659309414,0.0001562372987393701,0.00031001859913892815,0.00031939054321128424,0.0008923367873435173,0.054316568665178235,0.07755080812261551,251,502
256,2086156487,1,251,209,True,31.777616799998214,8.372859503487636,12.29796402025737,12.484788659309414,0.0001562372987393701,0.00031001859913892815,0.00031939054321128424,0.0008923367873435173,0.054316568665178235,0.07755080812261551,251,502
256,2086156487,2,251,209,True,31.195834800004377,8.372859503487636,12.29796402025737,12.484788659309414,0.0001562372987393701,0.00031001859913892815,0.00031939054321128424,0.0008923367873435173,0.054316568665178235,0.07755080812261551,251,502
512,2086156109,0,409,219,True,38.11994869999762,8.372714472305926,12.29768214351672,12.48449849190301,1.120611702987162e-05,2.8141858489760807e-05,2.922313680642219e-05,8.26873102832415e-05,0.05322794802702852,0.0766846977538424,409,818
512,2086156109,1,409,219,True,40.719215800010716,8.372714472305926,12.29768214351672,12.48449849190301,1.120611702987162e-05,2.8141858489760807e-05,2.922313680642219e-05,8.26873102832415e-05,0.05322794802702852,0.0766846977538424,409,818
512,2086156109,2,409,219,True,42.01756680000108,8.372714472305926,12.29768214351672,12.48449849190301,1.120611702987162e-05,2.8141858489760807e-05,2.922313680642219e-05,8.26873102832415e-05,0.05322794802702852,0.0766846977538424,409,818
512,2086156151,0,423,210,True,39.647135599996545,8.372717201422821,12.297683409273914,12.484499692185695,1.3935233925010948e-05,2.94076156830414e-05,3.042341949210936e-05,0.00012097559105937045,0.05413958437813015,0.07807400161106035,423,846
512,2086156151,1,423,210,True,39.34084450000955,8.372717201422821,12.297683409273914,12.484499692185695,1.3935233925010948e-05,2.94076156830414e-05,3.042341949210936e-05,0.00012097559105937045,0.05413958437813015,0.07807400161106035,423,846
512,2086156151,2,423,210,True,40.7526860999933,8.372717201422821,12.297683409273914,12.484499692185695,1.3935233925010948e-05,2.94076156830414e-05,3.042341949210936e-05,0.00012097559105937045,0.05413958437813015,0.07807400161106035,423,846
512,2086156193,0,419,200,True,38.014857499991194,8.372719187241978,12.29773057933937,12.48454927399538,1.5921053082124104e-05,7.65776811402219e-05,8.000522917761543e-05,5.006072627828165e-05,0.05374710541300301,0.07758101043296414,419,838
512,2086156193,1,419,200,True,37.89614260000235,8.372719187241978,12.29773057933937,12.48454927399538,1.5921053082124104e-05,7.65776811402219e-05,8.000522917761543e-05,5.006072627828165e-05,0.05374710541300301,0.07758101043296414,419,838
512,2086156193,2,419,200,True,38.28595809999388,8.372719187241978,12.29773057933937,12.48454927399538,1.5921053082124104e-05,7.65776811402219e-05,8.000522917761543e-05,5.006072627828165e-05,0.05374710541300301,0.07758101043296414,419,838
512,2086156235,0,416,233,True,41.083836500009056,8.372714540606836,12.297705497189835,12.484523056637789,1.127441793968842e-05,5.1495531604217604e-05,5.3787871586052916e-05,1.3916465897274855e-05,0.05366297144173461,0.07768910786784346,416,832
512,2086156235,1,416,233,True,40.0751692999911,8.372714540606836,12.297705497189835,12.484523056637789,1.127441793968842e-05,5.1495531604217604e-05,5.3787871586052916e-05,1.3916465897274855e-05,0.05366297144173461,0.07768910786784346,416,832
512,2086156235,2,416,233,True,39.90443939999386,8.372714540606836,12.297705497189835,12.484523056637789,1.127441793968842e-05,5.1495531604217604e-05,5.3787871586052916e-05,1.3916465897274855e-05,0.05366297144173461,0.07768910786784346,416,832
512,2086156277,0,408,200,True,36.36078199998883,8.372723999262984,12.297747240354395,12.484566504334854,2.0733074087786463e-05,9.323869616473246e-05,9.723556865104399e-05,5.0637320789484463e-05,0.05353150906968391,0.07707994131169987,408,816
512,2086156277,1,408,200,True,35.59436520001327,8.372723999262984,12.297747240354395,12.484566504334854,2.0733074087786463e-05,9.323869616473246e-05,9.723556865104399e-05,5.0637320789484463e-05,0.05353150906968391,0.07707994131169987,408,816
512,2086156277,2,408,200,True,35.41894800000591,8.372723999262984,12.297747240354395,12.484566504334854,2.0733074087786463e-05,9.323869616473246e-05,9.723556865104399e-05,5.0637320789484463e-05,0.05353150906968391,0.07707994131169987,408,816
512,2086156319,0,419,225,True,38.87061280000489,8.372717866899038,12.297690579924698,12.484507382750646,1.460071014136588e-05,3.6578266467302e-05,3.811398444319991e-05,9.989104769681303e-05,0.05325802110695956,0.07710175953519165,419,838
512,2086156319,1,419,225,True,38.698026500002015,8.372717866899038,12.297690579924698,12.484507382750646,1.460071014136588e-05,3.6578266467302e-05,3.811398444319991e-05,9.989104769681303e-05,0.05325802110695956,0.07710175953519165,419,838
512,2086156319,2,419,225,True,38.65336539999407,8.372717866899038,12.297690579924698,12.484507382750646,1.460071014136588e-05,3.6578266467302e-05,3.811398444319991e-05,9.989104769681303e-05,0.05325802110695956,0.07710175953519165,419,838
