features,seed,unknowns,lambda,energy,lambda_abs_error,energy_abs_error,converged,wall_seconds,optimization_lambda,optimization_energy,evaluation_order,evaluation_mass
128.0,2086155473.0,,16.671687289815186,5.855681241378093,0.041692177315184153,0.005094127878093602,True,0.3947198999812826,16.671685766441758,5.855680821106491,112.0,1.000000001445391
128.0,2086155473.0,,16.671687289815186,5.855681241378093,0.041692177315184153,0.005094127878093602,True,0.3981065999832935,16.671685766441758,5.855680821106491,112.0,1.000000001445391
128.0,2086155473.0,,16.671687289815186,5.855681241378093,0.041692177315184153,0.005094127878093602,True,0.3948402000241913,16.671685766441758,5.855680821106491,112.0,1.000000001445391
128.0,2086155515.0,,16.658278661357024,5.858062733845102,0.02828354885702211,0.00747562034510274,True,0.34465949999867,16.658280736867926,5.858062956895839,112.0,0.9999999980790811
128.0,2086155515.0,,16.658278661357024,5.858062733845102,0.02828354885702211,0.00747562034510274,True,0.3469185000285506,16.658280736867926,5.858062956895839,112.0,0.9999999980790811
128.0,2086155515.0,,16.658278661357024,5.858062733845102,0.02828354885702211,0.00747562034510274,True,0.3479243000037968,16.658280736867926,5.858062956895839,112.0,0.9999999980790811
128.0,2086155515.0,,16.658278661357024,5.858062733845102,0.02828354885702211,0.00747562034510274,True,0.3547906000167131,16.658280736867926,5.858062956895839,112.0,0.9999999980790811
128.0,2086155515.0,,16.658278661357024,5.858062733845102,0.02828354885702211,0.00747562034510274,True,0.3525523000280373,16.658280736867926,5.858062956895839,112.0,0.9999999980790811
128.0,2086155557.0,,16.79079296601795,5.876317832188512,0.1607978535179484,0.02573071868851251,True,0.3376475000404753,16.790810431560484,5.876321090136725,112.0,0.9999999711902341
128.0,2086155557.0,,16.79079296601795,5.876317832188512,0.1607978535179484,0.02573071868851251,True,0.3462072999682277,16.790810431560484,5.876321090136725,112.0,0.9999999711902341
128.0,2086155557.0,,16.79079296601795,5.876317832188512,0.1607978535179484,0.02573071868851251,True,0.3382519999868236,16.790810431560484,5.876321090136725,112.0,0.9999999711902341
128.0,2086155557.0,,16.79079296601795,5.876317832188512,0.1607978535179484,0.02573071868851251,True,0.3286423999816179,16.790810431560484,5.876321090136725,112.0,0.9999999711902341
128.0,2086155557.0,,16.79079296601795,5.876317832188512,0.1607978535179484,0.02573071868851251,True,0.330931399948895,16.790810431560484,5.876321090136725,112.0,0.9999999711902341
128.0,2086155599.0,,16.654861487466665,5.852602060173022,0.02486637496666333,0.0020149466730225996,True,0.3119512000121176,16.654860482611703,5.85260186599571,112.0,0.999999998095772
128.0,2086155599.0,,16.654861487466665,5.852602060173022,0.02486637496666333,0.0020149466730225996,True,0.317225500009954,16.654860482611703,5.85260186599571,112.0,0.999999998095772
128.0,2086155599.0,,16.654861487466665,5.852602060173022,0.02486637496666333,0.0020149466730225996,True,0.3079406999750063,16.654860482611703,5.85260186599571,112.0,0.999999998095772
128.0,2086155599.0,,16.654861487466665,5.852602060173022,0.02486637496666333,0.0020149466730225996,True,0.3107208000146784,16.654860482611703,5.85260186599571,112.0,0.999999998095772
128.0,2086155599.0,,16.654861487466665,5.852602060173022,0.02486637496666333,0.0020149466730225996,True,0.3154589000041596,16.654860482611703,5.85260186599571,112.0,0.999999998095772
128.0,2086155641.0,,16.652511167359087,5.854152133251244,0.0225160548590857,0.003565019751244236,True,0.3697246999945491,16.65251136134514,5.854152464308148,112.0,1.0000000123188026
128.0,2086155641.0,,16.652511167359087,5.854152133251244,0.0225160548590857,0.003565019751244236,True,0.3699642000137828,16.65251136134514,5.854152464308148,112.0,1.0000000123188026
128.0,2086155641.0,,16.652511167359087,5.854152133251244,0.0225160548590857,0.003565019751244236,True,0.3765030999784358,16.65251136134514,5.854152464308148,112.0,1.0000000123188026
128.0,2086155641.0,,16.652511167359087,5.854152133251244,0.0225160548590857,0.003565019751244236,True,0.3798177000135183,16.65251136134514,5.854152464308148,112.0,1.0000000123188026
128.0,2086155641.0,,16.652511167359087,5.854152133251244,0.0225160548590857,0.003565019751244236,True,0.418579299992416,16.65251136134514,5.854152464308148,112.0,1.0000000123188026
128.0,2086155683.0,,16.695747148432826,5.859606867089905,0.06575203593282453,0.009019753589905477,True,0.2644327000016346,16.695751199496538,5.859607915299266,112.0,1.0000000011104713
128.0,2086155683.0,,16.695747148432826,5.859606867089905,0.06575203593282453,0.009019753589905477,True,0.2714801999973133,16.695751199496538,5.859607915299266,112.0,1.0000000011104713
128.0,2086155683.0,,16.695747148432826,5.859606867089905,0.06575203593282453,0.009019753589905477,True,0.2667848999844864,16.695751199496538,5.859607915299266,112.0,1.0000000011104713
128.0,2086155683.0,,16.695747148432826,5.859606867089905,0.06575203593282453,0.009019753589905477,True,0.2607783999992534,16.695751199496538,5.859607915299266,112.0,1.0000000011104713
128.0,2086155683.0,,16.695747148432826,5.859606867089905,0.06575203593282453,0.009019753589905477,True,0.2596629999461584,16.695751199496538,5.859607915299266,112.0,1.0000000011104713
128.0,2086155725.0,,16.652170959065295,5.856493518822305,0.022175846565293256,0.0059064053223050195,True,0.3486149000236764,16.65217579542836,5.856494741135673,112.0,0.9999999986231868
128.0,2086155725.0,,16.652170959065295,5.856493518822305,0.022175846565293256,0.0059064053223050195,True,0.3379652999574318,16.65217579542836,5.856494741135673,112.0,0.9999999986231868
