mesh_width,pair_index,initial_pair,grid,complex_unknowns,energy,mu1,mu2,energy_abs_error,mu1_abs_error,mu2_abs_error,virial_residual,wave_function_error_1,wave_function_error_2,fixed_point_residual,iterations,converged,published_alignment_pass,published_gap_energy,published_gap_mu1,published_gap_mu2,published_gap_virial,wall_seconds
1.0,6.0,gaussian__conjugate_rotation_mixed,32.0,2048,8.37208781407925,12.303063585988646,12.490164713948424,0.0006154521096437,0.0054095843456405,0.0056954451974728,0.0293102965623409,0.0037443555119026,0.007145829240932,9.998788395099872e-12,24567,True,True,0.0008327798545465,0.0017748788223219,0.0007990881626504,0.0003514185099304,74.68488029995933
1.0,12.0,vortex__conjugate_vortex,32.0,2048,8.372087814079253,12.303063585988252,12.490164713948008,0.0006154521096419,0.0054095843452479,0.0056954451970572,0.0293102965624757,0.0037442630100457,0.0071458318024526,9.996100074858413e-12,27471,True,True,0.0008327798516578,0.0017748787496229,0.0007990882355745,0.000351418514532,85.01932069985196
1.0,16.0,vortex__conjugate_rotation_mixed,32.0,2048,8.37208781407925,12.303063585988324,12.490164713948069,0.0006154521096437,0.0054095843453172,0.0056954451971176,0.0293102965622907,0.0037442567773827,0.0071458282796017,9.996097675720896e-12,45784,True,True,0.0008327798545465,0.0017748787624521,0.0007990882249787,0.0003514185082167,134.66397750005126
1.0,22.0,conjugate_vortex__conjugate_vortex,32.0,2048,8.37208781407925,12.30306358598826,12.490164713948012,0.0006154521096437,0.005409584345255,0.0056954451970607,0.0293102965624498,0.0037442602328335,0.007145831269185,9.996089422027672e-12,28211,True,True,0.0008327798545465,0.0017748787509387,0.0007990882349513,0.000351418513646,78.4001605999656
1.0,26.0,conjugate_vortex__conjugate_rotation_mixed,32.0,2048,8.37208781407925,12.303063585988646,12.49016471394842,0.0006154521096437,0.0054095843456405,0.0056954451974693,0.0293102965623344,0.0037443552478647,0.0071458292126165,9.995226764890747e-12,27029,True,True,0.0008327798545465,0.0017748788223219,0.0007990881632737,0.0003514185097067,67.47196280024946
1.0,32.0,mixed__conjugate_vortex,32.0,2048,8.372087814079253,12.303063585988326,12.490164713948072,0.0006154521096419,0.0054095843453207,0.0056954451971211,0.029310296562257,0.003744256617641,0.0071458277500801,9.999972403325592e-12,29146,True,True,0.0008327798516578,0.00177487876311,0.0007990882243554,0.0003514185070663,76.0955368001014
1.0,36.0,mixed__conjugate_rotation_mixed,32.0,2048,8.37208781407925,12.303063585988646,12.490164713948422,0.0006154521096437,0.0054095843456405,0.0056954451974711,0.0293102965623344,0.0037443552843093,0.0071458292140438,9.998615499461135e-12,31959,True,True,0.0008327798545465,0.0017748788223219,0.0007990881629621,0.0003514185097072,93.72073959978296
1.0,42.0,conjugate_mixed__conjugate_vortex,32.0,2048,8.37208781407925,12.30306358598833,12.490164713948072,0.0006154521096437,0.0054095843453243,0.0056954451971211,0.0293102965622479,0.0037442567888303,0.0071458275812948,9.99558838077183e-12,29406,True,True,0.0008327798545465,0.001774878763768,0.0007990882243554,0.0003514185067544,85.67817869968712
1.0,46.0,conjugate_mixed__conjugate_rotation_mixed,32.0,2048,8.372087814079254,12.30306358598834,12.490164713948086,0.0006154521096402,0.005409584345335,0.0056954451971353,0.0293102965623037,0.0037442574277739,0.0071458283361769,9.998804729371049e-12,23830,True,True,0.0008327798487691,0.0017748787657417,0.0007990882218623,0.000351418508662,62.66862450027838
1.0,52.0,rotation_mixed__conjugate_vortex,32.0,2048,8.372087814079253,12.30306358598835,12.49016471394809,0.0006154521096419,0.0054095843453438,0.0056954451971389,0.0293102965622142,0.0037442574558403,0.0071458269735373,9.995066590656252e-12,30029,True,True,0.0008327798516578,0.0017748787673865,0.000799088221239,0.0003514185056066,79.31762220012024
