potential,N,trial,seed,retained,method_s,evaluation_s,orthogonality_max,assembly_points,assembly_seed,density,final_evaluation,lambda_1,lambda_ref_1,rel_error_1,assembly_lambda_1,mass_1,lambda_2,lambda_ref_2,rel_error_2,assembly_lambda_2,mass_2,lambda_3,lambda_ref_3,rel_error_3,assembly_lambda_3,mass_3
exp,128,2,20688997,106,2.759875535964966,0.5065872669219971,4.6601819503941835e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.37097192681014,145.07515681305517,0.0020390473479629492,145.37473858034497,0.9999697220249277,178.19951977361467,175.80339130007061,0.013629591874335422,178.06559871442917,0.9999959796078974,178.3959787760757,175.80339130007061,0.014747084551855581,178.2289033421178,0.9999810331219097
exp,128,3,20689094,107,2.76518177986145,0.497852087020874,6.320916720743546e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.3529904838933,145.07515681305517,0.0019151016407044311,145.3555851133414,0.9999738536600217,178.10173274721276,175.80339130007061,0.013073362408687656,177.78673212501383,0.9999182464351654,178.33701842489083,175.80339130007061,0.014411707908954291,178.20711679534432,0.9999342368780019
exp,128,4,20689191,102,2.7745933532714844,0.49216222763061523,6.105711497728866e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.29110901272483,145.07515681305517,0.0014885539634324554,145.30141057958033,0.99996488322279,178.18024674347183,175.80339130007061,0.013519963556017346,177.9908334752764,0.9999852165269406,178.28101435765996,175.80339130007061,0.014093147118876685,178.0564258921288,0.9999873860810264
exp,128,5,20689288,104,2.769893169403076,0.5100793838500977,3.1239199764263816e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.39266415678887,145.07515681305517,0.002188571432273804,145.39674869479657,0.999970839756908,178.17343212609725,175.80339130007061,0.01348120083748172,178.08286924666356,0.9999724430140446,178.48527004943946,175.80339130007061,0.015254988709468495,178.2194053977096,0.999943658472921
exp,128,6,20689385,104,2.7864890098571777,0.5058064460754395,3.4008160352104774e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.3627741756279,145.07515681305517,0.0019825404217439055,145.3645637631646,0.9999632397681738,178.15738384330592,175.80339130007061,0.013389915438078137,177.9439077087413,0.9999478621222652,178.40171644402201,175.80339130007061,0.014779721396366234,178.2392110142643,0.9999405938454821
exp,128,7,20689482,101,2.783590078353882,0.49424147605895996,0.0001071404379680083,4194304,203457,beta22,independent product integrals of fixed fields,145.3505124071367,145.07515681305517,0.0018980203098202186,145.35131782494148,0.9999676998317796,177.8330232349844,175.80339130007061,0.011544896374891372,177.67788118603207,0.9999829132211611,178.50044510195147,175.80339130007061,0.015341307024489534,178.25235239393388,1.000007315474165
exp,128,8,20689579,104,2.7722439765930176,0.49849796295166016,4.5846758802954445e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.35533537512956,145.07515681305517,0.0019312649266023047,145.3614763810375,0.9999670148393013,178.37346932672915,175.80339130007061,0.014619046923115317,178.15899386471915,0.9999771480731561,178.35244992907403,175.80339130007061,0.014499484965295932,178.24163177051648,0.9999714320632693
exp,128,9,20689676,103,2.777311086654663,0.49744510650634766,3.8833809220659576e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.36629641585307,145.07515681305517,0.0020068191494224097,145.3723266585925,0.99997044171972,178.5290275114256,175.80339130007061,0.015503888697475238,178.2448010580841,0.999928550328346,178.51106558368258,175.80339130007061,0.0154017181556547,178.37016595731436,0.9999430857491743
exp,128,10,20689773,103,2.7663464546203613,0.49953746795654297,1.7662366437285586e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.38309224766905,145.07515681305517,0.0021225924643368753,145.39857432262838,0.9999718563729404,178.22532845965875,175.80339130007061,0.013776396130233052,178.09431771098699,0.9999886927345631,178.34269957915765,175.80339130007061,0.014444023293912523,178.37512134772234,0.9999854405385126
exp,128,11,20689870,101,2.7632060050964355,0.5036532878875732,3.767572343755099e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.33350299779147,145.07515681305517,0.0017807748094954916,145.3360812130986,0.9999698532489094,178.67631835567934,175.80339130007061,0.016341704414023855,178.38355457473227,0.9999346198478136,178.5765429684932,175.80339130007061,0.015774164809421724,178.40497993472243,0.9999637347025587
exp,128,12,20689967,106,2.756023406982422,0.4901289939880371,1.954913591656506e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.33801063523745,145.07515681305517,0.0018118458594602422,145.34977227137617,0.9999687967950901,178.09193846983078,175.80339130007061,0.013017650870306307,177.92661451447148,0.999934027296904,178.41884838662597,175.80339130007061,0.014877170839617938,178.23099160931304,0.999990155643319
exp,128,13,20690064,108,2.773766279220581,0.5028126239776611,4.1275016151494984e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.34298074362732,145.07515681305517,0.0018461047118995622,145.3536624177751,0.9999655285097198,178.24167294479625,175.80339130007061,0.013869366379649898,178.0400558256835,0.9999982709369225,178.31200539258677,175.80339130007061,0.0142694294687087,178.1562839072234,0.9999027628513307
exp,128,14,20690161,102,2.7618465423583984,0.5051717758178711,6.393838814005374e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.3778593183968,145.07515681305517,0.0020865219930913353,145.38303139025965,0.9999669877989161,178.37016768048562,175.80339130007061,0.014600266590044876,178.07116597624852,0.9999021655438751,178.5642802818991,175.80339130007061,0.015704412533863205,178.4313055289703,0.9999211023843367
exp,128,15,20690258,111,2.7875144481658936,0.49471521377563477,3.7222369273615765e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.33616737901832,145.07515681305517,0.0017991403331687394,145.34149644735407,0.9999762765314436,177.96532817170402,175.80339130007061,0.012297469665663568,177.72613614334944,0.9999617929273718,178.25905014375067,175.80339130007061,0.013968210883307738,178.0337271857729,1.000008452281786
exp,128,16,20690355,101,2.7857906818389893,0.49884676933288574,2.5371754087030813e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.34661391511747,145.07515681305517,0.0018711480864508129,145.34376698407172,0.9999647435721286,178.46981143814835,175.80339130007061,0.015167057463223515,178.24585022889227,0.9999133921079263,178.7049833570971,175.80339130007061,0.01650475588422458,178.56550505817253,0.9999913259875394
exp,128,17,20690452,110,2.774671792984009,0.49837231636047363,4.646805123753763e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.34114051256964,145.07515681305517,0.0018334200379821945,145.33542636934055,0.9999720340083404,178.02096510161104,175.80339130007061,0.01261394211534493,177.75418476840997,0.9998980199950819,178.39479705557315,175.80339130007061,0.014740362721896447,178.18195847377254,0.9999500502401332
exp,128,18,20690549,110,2.7812600135803223,0.493898868560791,4.5843806061457654e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.4027240882359,145.07515681305517,0.002257914327832476,145.41183291171043,0.9999671824218076,178.1500932868712,175.80339130007061,0.013348445496111652,177.94188886247838,0.999837265322741,178.12690502805128,175.80339130007061,0.013216546682053309,178.11033538050566,1.000004665028747
exp,128,19,20690646,104,2.774298667907715,0.4891242980957031,6.051061704042715e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.3678054009415,145.07515681305517,0.0020172205518512185,145.37437708740927,0.9999715595857286,178.1291736818796,175.80339130007061,0.013229451176167632,177.82471137463727,0.999964827067827,178.2417144664358,175.80339130007061,0.013869602561894463,178.16478336423992,0.9999643606934147
exp,256,0,20816803,152,9.287734508514404,2.1290624141693115,4.954919530459114e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.25411934928852,145.07515681305517,0.0012335849925287678,145.25007476800505,0.9999674837300501,177.49368760643452,175.80339130007061,0.009614696814800443,177.33882817887832,0.9999881970469626,177.80829333598726,175.80339130007061,0.011404228445710525,177.7073842841853,1.0000080025098217
exp,256,1,20816900,151,9.451090812683105,2.1528708934783936,3.238479960360031e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.23648055423118,145.07515681305517,0.0011120011497481143,145.2376121760723,0.9999684166708132,177.36574013644156,175.80339130007061,0.008886909546040803,177.22361135707192,0.9999983707023032,177.71924016967998,175.80339130007061,0.010897678682086909,177.45130089796038,0.9999880771969789
exp,256,2,20816997,145,9.485846996307373,2.113034725189209,6.75361554760357e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.26975532852762,145.07515681305517,0.0013413634680623549,145.27001397125073,0.9999658344987739,177.45065800862585,175.80339130007061,0.009369937043726267,177.18291623743232,0.9999837211392946,177.8900650069846,175.80339130007061,0.011869359808607665,177.73803058539298,0.9999534336456944
exp,256,3,20817094,153,9.49078893661499,2.1412570476531982,2.2664793396834456e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.2521153267535,145.07515681305517,0.0012197713074083936,145.25345259173469,0.9999668139150921,177.51465060630167,175.80339130007061,0.009733937972278292,177.26153491965752,0.9999752777024848,177.7134229559702,175.80339130007061,0.010864589367559145,177.52430664015031,0.9999529599772681
exp,256,4,20817191,154,9.490076780319214,2.1330764293670654,5.4691748542932725e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.24814585091045,145.07515681305517,0.00119240979403654,145.24934090743724,0.9999653625341829,177.57694482573186,175.80339130007061,0.010088278232551534,177.41317854795665,0.9999860456211653,177.65017203983336,175.80339130007061,0.010504807251474265,177.5062844823696,0.999999937479314
exp,256,5,20817288,152,9.498944282531738,2.1426331996917725,2.238739309918503e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.24592749830273,145.07515681305517,0.0011771187362397083,145.2423139602454,0.9999614666539012,177.26183997388193,175.80339130007061,0.008295907507961326,177.1527818427891,0.9999332950972237,177.61425746889276,175.80339130007061,0.010300518979928331,177.4707434872169,0.9999080178348015
exp,256,6,20817385,156,9.490938425064087,2.1217260360717773,1.724444573510176e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.25627315894383,145.07515681305517,0.0012484311571142517,145.2555027589503,0.9999639639292883,177.34819392634128,175.80339130007061,0.008787103677846093,177.1183820055454,0.9999189332941114,177.5864085271081,175.80339130007061,0.010142109397617519,177.26941912547346,0.9999753778250979
exp,256,7,20817482,153,9.51048231124878,2.1074347496032715,4.656538657969315e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.23836047864117,145.07515681305517,0.0011249594291068156,145.23354217436616,0.9999652519066454,177.56295239863047,175.80339130007061,0.010008686894762708,177.3620088632664,1.0000137366628632,177.45149842818466,175.80339130007061,0.009374717495073638,177.457548532582,0.9999853862918813
exp,256,8,20817579,147,9.519888162612915,2.1246042251586914,3.858291078201966e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.27377987944334,145.07515681305517,0.0013691046127498772,145.27319449984833,0.9999665890741927,177.35051622152528,175.80339130007061,0.008800313293239902,177.19653250628699,0.9999854469602293,177.5487409860402,175.80339130007061,0.009927849929757784,177.35439973858317,0.9999768044611306
exp,256,9,20817676,152,9.509882926940918,2.135233163833618,2.6251853364604512e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.21367948021123,145.07515681305517,0.0009548338268181529,145.2069812070465,0.9999636148944075,177.66959033973785,175.80339130007061,0.010615261889242559,177.5103470400569,1.0000121903592794,177.72488078533155,175.80339130007061,0.010929763476412318,177.6072499560636,0.9999707918441425
exp,256,10,20817773,150,9.499526739120483,2.1308906078338623,4.391132049887787e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.2582834521159,145.07515681305517,0.0012622880656038811,145.25976422484814,0.9999721228223061,177.73233367938337,175.80339130007061,0.010972156822733507,177.5597571728158,0.9998875954156065,177.94186934720952,175.80339130007061,0.012164031827399934,177.69821427893706,0.9999907249294446
exp,256,11,20817870,147,9.515473365783691,2.1320810317993164,4.801357704458093e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.2447799040899,145.07515681305517,0.0011692083935040249,145.24169813626366,0.9999677221764274,177.5820094033871,175.80339130007061,0.010117086423439062,177.2945433438618,0.999997532736524,177.7918163822355,175.80339130007061,0.011310504691976872,177.5289838787469,0.9999463483384337
