potential,N,seed,retained,device,largest_frequency,draw_s,assemble_s,eigensolve_s,method_s,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,trial,lambda_ref_1,rel_error_1,lambda_ref_2,rel_error_2,lambda_ref_3,rel_error_3,lambda_ref_4,rel_error_4,lambda_ref_5,rel_error_5,lambda_ref_6,rel_error_6,lambda_ref_7,rel_error_7,lambda_ref_8,rel_error_8,lambda_ref_9,rel_error_9,lambda_ref_10,rel_error_10,lambda_ref_11,rel_error_11,lambda_ref_12,rel_error_12,recorded_at
square,256,21118258,149,cpu,8.247171477806127,0.0002486000012140721,4.4396177000016905,0.01490650000050664,4.454772800003411,151.0277801751734,182.37517614568256,182.64264609132778,183.10658753191265,183.46661592411138,183.81229960234828,184.11311933286174,184.22388247429885,184.48297435119557,185.6622407056989,187.22094601198478,214.26992405183768,15,151.0017431728773,0.00017242848823472175,181.8948733883238,0.0026405513713043598,181.8948733883238,0.004111015825100158,181.8948733883238,0.006661617895090421,181.8948733883238,0.008640939167274441,181.8948733883238,0.010541397777226036,181.8948733883238,0.012195208711585099,181.8948733883238,0.012804149136204094,181.8948733883238,0.014228553640137465,181.8948733883238,0.020711783939793837,181.8948733883238,0.029281048577386035,212.78800360377028,0.006964304486012582,1787841370.083595
square,256,21118355,137,cpu,9.961865814657214,0.0002592999953776598,4.415959899997688,0.014497900003334507,4.4307170999964,151.05655011936665,183.0500508481983,183.2692273110949,183.7416708608095,183.8759789624835,183.95035515504458,184.6666272133694,184.9705041624466,185.04393791682702,186.34425452999517,187.3615542155817,214.5369720838806,16,151.0017431728773,0.0003629557204952484,181.8948733883238,0.006350797239943959,181.8948733883238,0.0075557595284010005,181.8948733883238,0.010153103482707987,181.8948733883238,0.010891486589235945,181.8948733883238,0.01130038317425572,181.8948733883238,0.015238218501783965,181.8948733883238,0.016908837048731418,181.8948733883238,0.01731255240921692,181.8948733883238,0.02446127842301792,181.8948733883238,0.030054067634920054,212.78800360377028,0.008219300197801874,1787841374.5233686
square,256,21118452,151,cpu,8.215014729643674,0.0002874999918276444,4.4446547999978065,0.015354800008935854,4.46029709999857,151.06368962240953,182.6113254779343,182.76239310391418,183.13943603605418,183.5819374773058,183.79981369170142,183.99611796853065,184.41643198345034,184.66686402101263,185.73899706116723,187.2216847670276,214.2228196981294,17,151.0017431728773,0.00041023665178029404,181.8948733883238,0.003938825082117402,181.8948733883238,0.0047693467079654266,181.8948733883238,0.0068422084940975665,181.8948733883238,0.009274940285866761,181.8948733883238,0.010472754222769155,181.8948733883238,0.011551972527125386,181.8948733883238,0.013862724925420651,181.8948733883238,0.015239520394678591,181.8948733883238,0.021133765901343977,181.8948733883238,0.02928511001699154,212.78800360377028,0.006742936961008728,1787841378.9942663
square,256,21118549,155,cpu,9.777815438562692,0.0002975000097649172,4.524775899990345,0.014764899999136105,4.539838299999246,151.09813057973582,182.530142834123,182.58509014042386,182.6473557298729,183.31389699054643,183.67373668539153,184.11228150836243,184.51598080452138,184.83497638763535,185.43153337478944,186.69635246228555,214.2567972067148,18,151.0017431728773,0.0006383198288524029,181.8948733883238,0.0034925087989863247,181.8948733883238,0.0037945915640323763,181.8948733883238,0.004136907915720449,181.8948733883238,0.007801339178994845,181.8948733883238,0.009779623053312139,181.8948733883238,0.012190602619705174,181.8948733883238,0.014410012593383202,181.8948733883238,0.01616374856829964,181.8948733883238,0.01944342861667852,181.8948733883238,0.02639700055598145,212.78800360377028,0.006902614706041119,1787841383.545529
square,256,21118646,157,cpu,7.325717270105324,0.00027239999326411635,4.506820299997344,0.015059700002893806,4.522152399993502,151.05195602788388,182.5085807166875,182.95844889981288,183.14409852947227,183.41978250166545,183.4643154040399,184.0970843530169,184.17995469820022,184.4255694015868,185.58140259817043,186.49662834180236,214.4238786507799,19,151.0017431728773,0.0003325316248110495,181.8948733883238,0.0033739671543877147,181.8948733883238,0.005847198943416535,181.8948733883238,0.006867841395845938,181.8948733883238,0.008383463947805531,181.8948733883238,0.008628291641653556,181.8948733883238,0.01210705350662441,181.8948733883238,0.0125626482336204,181.8948733883238,0.013912959536029869,181.8948733883238,0.020267361807258532,181.8948733883238,0.025298981041947124,212.78800360377028,0.007687816132979757,1787841388.0775
square,384,21244803,196,cpu,10.143528962825048,0.00029039999935775995,8.260072200006107,0.03679019999981392,8.297152800005279,150.91827207666813,181.61116715118004,182.16705937529827,182.59617202257914,182.74023738585265,183.12604640305887,183.14976202498445,183.6013542432329,184.07291508542357,184.7793981155713,186.00210609098195,213.31906807767297,0,151.0017431728773,0.0005527823351920033,181.8948733883238,0.0015597264060217245,181.8948733883238,0.0014963917448810836,181.8948733883238,0.0038555162176460195,181.8948733883238,0.004647541636449054,181.8948733883238,0.006768596562403769,181.8948733883238,0.006898977487846123,181.8948733883238,0.009381687472114568,181.8948733883238,0.011974178581987453,181.8948733883238,0.015858196954728867,181.8948733883238,0.02258025543078235,212.78800360377028,0.002495744425947886,1787841396.3831968
square,384,21244900,187,cpu,10.543443384147416,0.0002854000049410388,8.136389299994335,0.036907600006088614,8.173582300005364,150.950013682915,181.8229087004199,182.4267874241993,182.79144557458346,183.07961204657536,183.44318809836804,183.59850925213865,183.7492462223506,184.13450918349815,185.01059061821755,186.2586301923299,213.5899791476629,1,151.0017431728773,0.000342575448967332,181.8948733883238,0.0003956389015442465,181.8948733883238,0.0029242937195922466,181.8948733883238,0.004929067925656161,181.8948733883238,0.00651331528031744,181.8948733883238,0.008512140453451843,181.8948733883238,0.009366046618465207,181.8948733883238,0.010194750404360988,181.8948733883238,0.012312803288265365,181.8948733883238,0.01712921959731145,181.8948733883238,0.023990543123719614,212.78800360377028,0.0037688945349849596,1787841404.56717
square,384,21244997,177,cpu,13.549556647794953,0.000331300005200319,8.10179660000722,0.03705479999189265,8.139182700004312,150.96154915409917,182.13997350181674,182.55745018496276,182.66906969502347,182.96343093889794,183.51162048130692,183.67349778484888,184.0773172703065,184.42804930652414,185.49575537741117,186.58919464103926,213.81060800669306,2,151.0017431728773,0.00026618248196053377,181.8948733883238,0.0013474822512984919,181.8948733883238,0.0036426359044460306,181.8948733883238,0.004256284370625787,181.8948733883238,0.005874588605325411,181.8948733883238,0.0088883598688984,181.8948733883238,0.009778309654324005,181.8948733883238,0.011998380390432798,181.8948733883238,0.013926593262429827,181.8948733883238,0.019796500704007923,181.8948733883238,0.025807881031884028,212.78800360377028,0.00480574273739115,1787841412.7200878
square,384,21245094,175,cpu,10.708792139535548,0.00046100000326987356,8.051710599989747,0.035291000007418916,8.087462600000435,150.94596602300075,182.31209485369556,182.42057319162015,182.7506409326785,183.03054004777414,183.35580380161687,183.8436720473905,184.06827609066247,184.3524348793228,185.5236447274923,186.15155892451813,213.51045859176463,3,151.0017431728773,0.0003693808343171908,181.8948733883238,0.0022937505472243273,181.8948733883238,0.0028901298508510246,181.8948733883238,0.00470473701877097,181.8948733883238,0.006243533082022815,181.8948733883238,0.00803172946042395,181.8948733883238,0.010713873474082244,181.8948733883238,0.011948674868360487,181.8948733883238,0.013510889258282791,181.8948733883238,0.019949827455672794,181.8948733883238,0.023401899442799717,212.78800360377028,0.003395186644730347,1787841420.8182976
square,384,21245191,178,cpu,9.979916386122206,0.00030840000545140356,8.187911700006225,0.035957899992354214,8.22417800000403,150.9300449848334,182.08674447727265,182.75615370390264,182.85599918805744,183.09223053727098,183.1943684271788,183.56547881150397,183.9420416832246,184.0919684902037,185.2624163506788,186.08530883310675,213.60686540380792,4,151.0017431728773,0.0004748169559991479,181.8948733883238,0.0010548460513190834,181.8948733883238,0.00473504447670783,181.8948733883238,0.005283963103686613,181.8948733883238,0.0065826877175970576,181.8948733883238,0.007144209260261818,181.8948733883238,0.009184455790645812,181.8948733883238,0.011254678357703654,181.8948733883238,0.012078928124540238,181.8948733883238,0.018513677156616185,181.8948733883238,0.023037677570147262,212.78800360377028,0.0038482517161184974,1787841429.053522
